Requests_Per_Second,Latency_Mean_ms,Latency_P99_ms,Errors_Count
1,12.696032,12.696032,0.0
11,1.5877498181818182,1.6933837999999999,0.0
12,1.5341698333333333,1.6162297700000001,0.0
13,1.5207436153846152,1.59209668,0.0
14,1.534591,1.6283171699999999,0.0
15,1.5609222666666667,1.66557084,0.0
16,1.4879855,1.6370107,0.0
17,1.5615585294117647,1.6438104,0.0
18,1.535608388888889,1.8788173799999994,0.0
19,1.5608414210526316,1.6181794,0.0
20,1.50175005,1.6262634,0.0
22,1.4935619090909091,1.60763339,0.0
22,1.4125126363636364,1.61090069,0.0
23,1.5180795217391305,1.6068886,0.0
25,1.45088328,2.099634999999999,0.0
25,1.434897,1.62781256,0.0
27,1.4457484074074074,2.669662279999998,0.0
28,1.4520733214285715,3.7705348300000012,0.0
28,1.4045139642857143,1.74990224,0.0
30,1.2844766333333333,1.60931609,0.0
31,1.1360152580645162,2.0829705999999995,0.0
32,1.16053021875,1.6216593,0.0
33,1.0795153333333334,1.9603672799999998,0.0
33,1.125047787878788,2.9039854399999996,0.0
36,1.0389462222222223,1.4046801999999992,0.0
36,1.0455281944444446,1.4793213499999998,0.0
37,1.0359994324324324,1.2653020400000001,0.0
38,1.0533483421052632,1.5019682700000005,0.0
39,1.0397381025641026,1.2340107799999993,0.0
40,1.10857115,2.969951599999999,0.0
42,1.037750880952381,1.2120096299999998,0.0
42,1.045223738095238,1.6902572799999973,0.0
44,1.039684181818182,1.1682679599999999,0.0
44,1.0624810454545455,1.6479065400000001,0.0
46,1.036896847826087,1.2094432999999998,0.0
46,1.0863470869565217,2.500288199999998,0.0
48,1.0318156458333332,1.14570064,0.0
49,0.9954218163265306,1.17308888,0.0
50,1.0144954800000001,1.1721137199999996,0.0
50,1.04114174,2.1018846899999994,0.0
52,0.9541219038461539,1.04445871,0.0
53,1.03648879245283,2.1016153599999945,0.0
54,0.9410704629629629,1.429236679999999,0.0
55,0.9825218545454546,1.1094154,0.0
56,1.0322879821428572,2.8459595000000064,0.0
58,1.0049247413793103,1.45108661,0.0
58,0.9873927758620689,1.71993224,0.0
59,0.9368414406779662,1.24413434,0.0
61,0.9980544590163934,1.6396041999999993,0.0
61,1.0200104098360656,1.2948965999999995,0.0
62,1.0087224193548388,1.5066886600000002,0.0
64,1.028841890625,2.675726429999995,0.0
64,0.98563128125,1.4380513799999994,0.0
66,1.0462323636363637,2.8807500999999798,0.0
67,0.9668728805970149,1.347551960000002,0.0
68,0.9227614117647059,1.0431352,0.0
68,0.8671886323529412,1.4094926199999989,0.0
70,0.8656804571428571,1.03448391,0.0
71,0.887254323943662,1.3536631999999968,0.0
72,0.85833125,0.9624458100000001,0.0
73,0.867276095890411,1.25176912,0.0
74,0.8649665945945945,1.1106950699999982,0.0
75,0.8618370933333334,1.0331141400000001,0.0
76,0.8638728552631578,1.1306675,0.0
78,0.8444706666666667,0.9177208400000003,0.0
78,0.8769750384615386,1.3615595300000018,0.0
79,0.8471780253164557,0.9277095399999998,0.0
