Requests_Per_Second,Latency_Mean_ms,Latency_P99_ms,Errors_Count
2,3.08664,3.12232376,0.0
11,3.002505727272727,3.1638228,0.0
12,2.990346,3.0363496999999997,0.0
13,2.983134923076923,3.0474928799999996,0.0
14,2.9795187857142857,3.03594134,0.0
15,3.4355281333333334,8.602344539999997,0.0
16,2.967949625,3.06801385,0.0
17,2.9962504705882353,3.04404648,0.0
19,2.9742841578947368,3.11061066,0.0
19,2.973430947368421,3.12080514,0.0
20,2.9547558,3.0152286999999998,0.0
21,2.980435142857143,3.05708,0.0
23,2.9321486521739133,3.06461636,0.0
23,2.984039130434782,3.19100942,0.0
25,2.86193512,3.04346776,0.0
26,2.9085101538461537,3.0447195,0.0
26,2.9023408076923074,3.523022,0.0
28,3.145299142857143,7.5737097700000025,0.0
29,2.8528516896551723,3.09979032,0.0
30,2.910778833333333,3.13645515,0.0
30,2.771897,3.0367126200000003,0.0
32,2.6670988125,3.03964611,0.0
33,2.6523727575757574,2.9995534,0.0
34,2.6531754999999997,2.99969247,0.0
36,2.646359888888889,3.1638938499999996,0.0
36,2.6475719166666667,2.9815765499999998,0.0
37,2.6735868108108107,3.3251913600000003,0.0
38,2.625103815789474,2.75543522,0.0
39,2.637877230769231,2.83711148,0.0
41,2.660718097560976,3.367253600000001,0.0
41,2.6291280975609754,2.7689006000000003,0.0
43,2.612639860465116,2.9566839799999998,0.0
43,2.623488651162791,2.74041128,0.0
45,2.6269712666666667,3.0681742800000014,0.0
46,2.6265336739130434,2.825772099999999,0.0
46,2.6938765,4.542870499999996,0.0
48,2.6079995208333333,2.66856726,0.0
49,2.6060841224489795,2.9433587999999995,0.0
50,2.614825,3.1741651899999983,0.0
51,2.5410185490196078,2.7477865,0.0
52,2.527338153846154,2.68366937,0.0
53,2.548944566037736,2.828074639999999,0.0
54,2.5585640925925928,3.163197649999999,0.0
55,2.5228024545454546,2.73261358,0.0
56,2.513478,2.60563525,0.0
58,2.5398667413793103,2.82382638,0.0
58,2.539313448275862,3.11993777,0.0
59,2.5360943559322036,2.7632638199999997,0.0
61,2.559609737704918,3.191479599999999,0.0
61,2.5741722786885246,3.661170799999997,0.0
63,2.555385857142857,3.0799758000000006,0.0
63,2.5349518412698413,2.7533082,0.0
65,2.5731348,3.87044216,0.0
66,2.518988954545455,2.7301847499999994,0.0
66,2.559563924242424,3.4867717499999897,0.0
68,2.5367883088235295,3.060253719999998,0.0
69,2.5313910144927534,2.935783399999999,0.0
70,2.5107792714285715,2.6779899800000004,0.0
71,2.554482408450704,3.9561476999999985,0.0
72,2.524351513888889,2.75768409,0.0
73,2.565931479452055,4.01299468,0.0
74,2.5264378648648647,3.0336383899999966,0.0
76,2.533782513157895,2.921683,0.0
76,2.5468009605263155,3.2685357500000003,0.0
77,2.5407684155844157,2.82230508,0.0
79,2.5398933797468355,2.9720061199999996,0.0
