Framework,P99 (ms),Error Rate (%),Throughput (RPS),RAM Max (MiB),RAM Drift (MiB),TCP Max,Temp Media (°C)
FastAPI,881.18,39.28,49.86,121.0,48.19,53,36.46
Express,880.46,37.33,49.86,104.7,1.22,52,36.27
