Requests_Per_Second,Latency_Mean_ms,Latency_P99_ms,Errors_Count
11,11.207329090909091,21.916455700000004,0.0
12,9.020564,9.61805375,0.0
13,9.110872461538461,9.610116,0.0
13,8.884955307692307,9.30332136,0.0
15,8.949026400000001,9.4318394,0.0
16,9.1630710625,12.277566349999999,0.0
17,8.891988647058824,9.589956800000001,0.0
18,8.719130222222223,9.213145619999999,0.0
19,8.848369368421054,9.9402064,0.0
20,8.89627145,12.114888339999995,0.0
22,8.832355090909092,9.454450079999999,0.0
22,8.989128000000001,15.266048959999996,0.0
23,8.725178260869566,9.305596060000001,0.0
25,8.76838652,11.907121839999993,0.0
25,8.99039364,13.099924079999997,0.0
26,8.359814346153847,8.9705245,0.0
28,8.477731714285714,9.27520928,0.0
29,8.50206348275862,13.253609919999993,0.0
29,8.27309724137931,8.94173072,0.0
31,8.29529670967742,9.3012438,0.0
32,8.31242134375,8.94263007,0.0
32,8.20963403125,9.01005659,0.0
34,8.53523761764706,12.80406391,0.0
35,8.0881582,8.50528484,0.0
36,8.231479916666666,11.526549149999997,0.0
37,8.089171108108108,8.539590519999999,0.0
38,8.244956315789473,12.191516930000011,0.0
39,8.234622923076923,11.346951599999993,0.0
41,8.371673390243902,13.898567400000005,0.0
41,8.154478414634147,9.057312600000001,0.0
42,8.428310595238095,15.738430839999998,0.0
44,7.98258640909091,8.41749844,0.0
44,8.180381863636363,12.954161040000002,0.0
45,7.938582066666667,8.38948596,0.0
47,8.260678212765956,15.36690394,0.0
48,7.9369677916666665,8.3597858,0.0
48,8.237736395833332,15.055257370000003,0.0
50,7.96451594,8.48268871,0.0
51,7.929095882352941,8.4340905,0.0
51,8.198447431372548,14.4822105,0.0
53,7.966520962264151,8.46133128,0.0
54,8.243296777777777,13.72885206,0.0
55,7.945672163636364,8.57437094,0.0
56,8.188517732142857,14.960392,0.0
57,7.928289192982456,8.44604264,0.0
58,9.107461965517242,25.0262264,0.0
60,8.36486375,8.73089532,0.0
60,8.706215166666668,16.16164202,0.0
61,8.328443639344261,9.260065799999998,0.0
63,8.624676206349207,18.0058237,0.0
63,8.379427920634921,14.324197180000017,0.0
64,8.25233190625,16.316648819999997,0.0
66,7.920672015151515,8.547064849999998,0.0
67,8.251818925373133,15.26470536,0.0
67,7.975092119402985,9.661356220000007,0.0
69,8.021219565217391,10.529655839999998,0.0
70,8.281874128571427,15.376437740000004,0.0
70,7.9941521714285715,8.40114647,0.0
72,8.448923402777778,17.834573570000007,0.0
73,7.983295698630137,8.451182000000001,0.0
74,9.04207491891892,18.39843808,0.0
75,8.465209346666667,9.109525660000003,0.0
76,8.948300118421054,18.09347475,0.0
77,8.376896701298701,8.760245560000001,0.0
79,8.617301012658228,16.5858235,0.0
79,7.993734050632912,9.142518459999996,0.0
80,8.382263824999999,18.407136029999982,0.0
82,8.06264374390244,11.812624929999997,0.0
82,9.211964951219512,22.05713717999999,0.0
83,8.457968530120482,8.778958979999999,0.0
85,8.437222741176472,9.130200279999995,0.0
85,8.971416611764706,20.389384599999996,0.0
87,8.165468425287356,12.144915260000001,0.0
88,8.695314079545454,22.968753630000002,0.0
89,7.934077292134831,8.388335840000003,0.0
89,8.835477483146066,20.725307080000015,0.0
91,8.234116604395604,8.567666000000001,0.0
92,9.23165752173913,24.46109421,0.0
93,8.198048860215053,8.592948,0.0
94,9.258796936170212,24.07121065999998,0.0
95,7.9386112631578944,8.30178758,0.0
96,8.776635989583333,21.206332749999994,0.0
98,8.267903612244897,13.617733680000002,0.0
98,9.542480602040817,24.53793668,0.0
99,8.215506353535353,8.742526979999996,0.0
99,8.751809404040404,17.31579061999999,0.0
103,9.018931708737865,24.57100140000001,0.0
102,7.9692567254901965,8.337134489999999,0.0
104,9.314595163461538,25.038933059999998,0.0
104,8.555796134615385,15.402302689999999,0.0
106,9.756434349056605,25.548107100000006,0.0
107,8.241021943925233,11.471581559999997,0.0
108,10.184001555555556,25.91546765999999,0.0
108,8.003611666666666,8.496683279999997,0.0
110,10.074165418181819,25.95804192,0.0
111,8.653668486486486,17.281795400000004,0.0
112,10.827296562499999,26.89126559,0.0
112,8.413627285714286,18.480665469999998,0.0
114,13.305004157894736,28.86412865,0.0
116,10.33555927586207,21.582614550000002,0.0
113,11.841184168141593,38.5369044,0.0
121,16.705472,35.55589619999999,0.0
118,8.156506245762712,8.99728082,0.0
118,25.31883852542373,32.25162395,0.0
122,10.177195540983607,17.961175679999997,0.0
120,20.86522880833333,29.55092156,0.0
120,28.30949705,43.21284973,0.0
116,77.0190832413793,101.59905224999999,0.0
120,121.21828086666666,140.23634312000002,0.0
117,179.1067153162393,203.37486847999998,0.0
122,219.9272763852459,237.30003799,0.0
118,268.76959012711865,312.1625399,0.0
122,337.7465780819672,364.29181316,0.0
119,397.17601688235294,436.7424293,0.0
122,445.38504288524587,463.59252968,0.0
120,475.74653980833335,513.74021359,0.0
123,522.9441060731707,543.54080358,0.0
119,572.980087605042,592.1523033799999,0.0
121,632.4267154132232,648.7451478,0.0
122,674.1850462868853,709.3501135600001,0.0
120,750.2660875833334,771.97726259,0.0
123,792.3440249674798,817.86414566,0.0
118,872.1612701101694,919.474974,0.0
121,945.6338715454546,975.5400868,0.0
119,1023.1219299495798,1067.35530028,0.0
122,1105.1394742868854,1132.1241062,0.0
121,1169.4533475619835,1215.1402256,0.0
122,1249.594177532787,1287.9174777,0.0
119,1339.170088563025,1396.79073922,0.0
122,1440.0675346393443,1484.76383675,0.0
117,1529.4914605982906,1598.44854992,0.0
122,1645.6384766721312,1695.37190281,0.0
119,1735.9868846554623,1792.6428480799998,0.0
121,1851.6213005123966,1897.0902294,0.0
124,1942.0342231854838,1980.6161627899999,0.0
133,1999.0170814736844,2001.0435692400001,121.0
138,2000.6105559347825,2001.03736276,138.0
144,2000.5598123749999,2001.02560373,144.0
146,2000.543900547945,2001.0315285,146.0
149,2000.474753033557,2001.02172372,149.0
151,2000.5900526821192,2003.2821745,151.0
154,2000.4827695000001,2001.01685315,154.0
154,2000.3521872142858,2000.96395028,154.0
157,2000.505954057325,2001.02869876,157.0
157,1845.2007769936308,2001.03362144,157.0
159,1530.619046018868,2001.00519736,159.0
160,1428.56370644375,2001.0068002100002,160.0
161,1505.840393037267,2003.495823,161.0
163,1391.0945221472393,2001.05488738,163.0
164,1303.7135828414634,2001.01448312,164.0
165,1451.5669409575758,2001.0420484800002,165.0
164,1453.390589628049,2001.02970826,164.0
168,1391.0551641964284,2001.03548683,168.0
167,1513.1647163053892,2004.4625319200002,167.0
170,1455.355667047059,2001.02530953,170.0
170,1369.3577377705883,2000.9935728799999,170.0
171,1434.1216851052632,2001.0044683,171.0
170,1449.8809450647059,2001.02732974,170.0
176,1339.8609153125,2001.0261085,176.0
173,1437.6702240751445,2001.0097515999998,173.0
176,1456.8236730625,2006.6451875,176.0
176,1345.5869622556818,2001.0321087500001,176.0
176,1366.9160263977274,2000.9907005,176.0
179,1415.8877122513966,2001.01969122,179.0
178,1361.9687648258428,2001.0161925300001,178.0
182,1349.2860172747253,2001.03285236,182.0
181,1418.3885246629834,2000.9895000000001,181.0
184,1313.4884522119567,2012.2688019,184.0
183,1431.944112704918,2001.0428585,183.0
183,1381.539586989071,2001.01728216,183.0
187,1234.0378125347595,2001.01782834,187.0
185,1284.8238371513514,2001.03404636,185.0
189,1402.9918256137564,2001.02241016,189.0
188,1247.582597968085,2001.02720759,188.0
191,1333.596275052356,2002.101118,191.0
190,1261.673425568421,2001.00319828,190.0
193,1416.0913474093263,2000.97735824,193.0
193,1357.6216129430052,2001.0258378400001,193.0
194,1330.545686572165,2001.02246839,194.0
195,1206.6496079076924,2001.02330506,195.0
197,1172.0296079543145,2001.0238540799999,197.0
197,1296.8537537563452,2013.0864466,197.0
198,1255.0549978585857,2001.01692865,198.0
196,1388.870779137755,2001.005992,196.0
202,1247.7707141930694,2001.01848253,202.0
199,1263.0735909145728,2000.99808584,199.0
203,1262.3640607980296,2001.0294564600001,203.0
202,1321.0787323168317,2001.0200787899998,202.0
204,1250.4721599705883,2001.03038362,204.0
204,1137.049077617647,2001.49562075,204.0
207,1272.2458958019322,2001.00273402,207.0
206,1273.0358593009707,2001.02511485,206.0
206,1215.6467319902913,2001.0265313,206.0
208,1247.5282546875,2001.0075441000001,208.0
210,1224.4240819142858,2001.03084627,210.0
209,1235.7249492870812,2000.98584892,209.0
211,1159.8996791374407,2009.1606803,211.0
211,1271.6300184928912,2001.0300999,211.0
209,1183.963120952153,2001.02871788,209.0
215,1186.9740951534884,2001.02747406,215.0
211,1265.0272490331752,2001.002397,211.0
217,1068.4003856958525,2001.03470268,217.0
214,1216.3430578130842,2001.02207869,214.0
217,1222.2879427926266,2001.01798372,217.0
217,1149.6036708110598,2003.07311484,217.0
218,1053.9005707110093,2001.0290121,218.0
216,1187.3116280046297,2001.01818545,216.0
221,1128.5087140588234,2001.020743,221.0
218,1207.4962536055045,2001.00718097,218.0
223,1079.9365302242154,2001.0209551799999,223.0
221,1178.0420888868778,2001.0410036,221.0
224,1188.1514789910714,2001.0090596300001,224.0
223,1100.1110173183856,2004.72229786,223.0
225,1113.3731287333333,2001.0219084399998,225.0
226,1129.9069140840709,2001.06202475,226.0
226,1176.7962119601768,2000.999552,226.0
227,1043.1937221409692,2001.0326900599998,227.0
228,1163.3126970482456,2001.02389232,228.0
229,1127.544807768559,2001.0204171999999,229.0
229,1145.4734844759826,2001.0078713999999,229.0
231,1025.5999892467532,2010.0275803,231.0
231,1123.6347911818182,2001.0154587999998,231.0
228,1113.8586483114034,2001.0311018700002,228.0
235,1115.8340337914892,2001.01577268,235.0
231,1088.269829155844,2001.0338413,231.0
237,1118.4470944683544,2001.0161918,237.0
234,1166.1769846239317,2000.9931854,234.0
237,1060.4592301139241,2000.98169588,237.0
237,1106.2626632531644,2007.5236090399999,237.0
239,1014.933716585774,2001.02346418,239.0
234,1148.4457986623931,2000.97883129,234.0
241,1058.483445726141,2001.0345122,241.0
239,1141.4483669707113,2001.0247197400001,239.0
242,978.1065695165289,2001.00644629,242.0
242,1100.0183828884296,2001.02065805,242.0
244,1030.747869397541,2000.99268104,244.0
244,1041.889641737705,2001.0227153199999,244.0
244,1086.9468175696722,2005.1554071,244.0
246,1085.7149609674798,2001.03318285,246.0
243,1009.9208347037037,2001.00958434,243.0
248,1089.1956122983872,2001.01667563,248.0
217,1337.9386753087556,2000.9747047199999,217.0
